display_name,value_key
CGI Test Issuer WS Name Change,cgi-test-issuer-ws-name-change
CGI test company 1,cgi-test-company-1
CGI test company 3,cgi-test-company-3
CHA PACE,cha-pace
CHRISTUS Health Advantage,christus-health-advantage
CHRISTUS Health Plan,christus-health-plan
CHRISTUS Health Plan Louisiana,christus-health-plan-louisiana
"CIGNA HealthCare of Connecticut, Inc.",cigna-healthcare-of-connecticut-inc
"CIGNA HealthCare of New Hampshire, Inc.",cigna-healthcare-of-new-hampshire-inc
"CMD Health, Inc.",cmd-health-inc
COMMERCIAL TRAVELERS MUTUAL INSURANCE COMPANY,commercial-travelers-mutual-insurance-company
CONTRA COSTA HEALTH PLAN,contra-costa-health-plan
COUNTY OF LOS ANGELES - DEPARTMENT OF HEALTH SERVICES,county-of-los-angeles-department-of-health-services
CalCPA Group Insurance Trust,calcpa-group-insurance-trust
CalOptima Health OneCare,caloptima-health-onecare
CalOptima PACE,caloptima-pace
"California Dental Network, Inc.",california-dental-network-inc
California Motor Dealers Employee BT,california-motor-dealers-employee-bt
"Calnet, Inc",calnet-inc
Canyon Insurance Group,canyon-insurance-group
Capital Advantage Assurance Company,capital-advantage-assurance-company
Capital Advantage Insurance Company CAIC,capital-advantage-insurance-company-caic
Capital Blue Cross,capital-blue-cross
Capital BlueCross,capital-bluecross
Capital District Physicians Health Plan Inc.,capital-district-physicians-health-plan-inc
Capital Health LIFE,capital-health-life
Capital Health Plan,capital-health-plan
"Capital Senior Living, Inc.",capital-senior-living-inc
Care Guide Partners,care-guide-partners
Care Resources,care-resources
Care1st Health Plan,care1st-health-plan
Care1st Helth Plan,care1st-helth-plan
"CareFirst BlueChoice, Inc.",carefirst-bluechoice-inc
CareFirst BlueCross BlueShield Group Prescription Drug Plan,carefirst-bluecross-blueshield-group-prescription-drug-plan
CareFirst BlueCross BlueShield Medicare Advantage,carefirst-bluecross-blueshield-medicare-advantage
CareFirst BlueCross BlueShield Medicare Advantage Dual Prime,carefirst-bluecross-blueshield-medicare-advantage-dual-prime
"CareFirst of Maryland, Inc.",carefirst-of-maryland-inc
CareOregon Advantage,careoregon-advantage
CarePartners PACE,carepartners-pace
CarePartners of Connecticut,carepartners-of-connecticut
"CarePlus Health Plans, Inc.",careplus-health-plans-inc
"CarePoint HMO, LLC",carepoint-hmo-llc
CarePoint Insurance Company,carepoint-insurance-company
CareSource,caresource
CareSource Arkansas Health Plan Co,caresource-arkansas-health-plan-co
CareSource Georgia Co.,caresource-georgia-co
"CareSource Indiana, Inc.",caresource-indiana-inc
CareSource Iowa Co.,caresource-iowa-co
"CareSource Kansas, LLC.",caresource-kansas-llc
CareSource Kentucky Co.,caresource-kentucky-co
CareSource MyCare Ohio,caresource-mycare-ohio
CareSource MyCare Ohio (HMO D-SNP),caresource-mycare-ohio-hmo-d-snp
CareSource Nevada Co,caresource-nevada-co
CareSource North Carolina Co.,caresource-north-carolina-co
"CareSource Ohio, Inc.",caresource-ohio-inc
CareSource Tennessee Co.,caresource-tennessee-co
CareSource West Virginia Co.,caresource-west-virginia-co
Caremark LLC,caremark-llc
"Cariten Health Plan, Inc.",cariten-health-plan-inc
Cariten Insurance Company,cariten-insurance-company
Carolina Care Plan,carolina-care-plan
Carolina SeniorCare,carolina-seniorcare
Carpenters Health and Welfare Trust Fund for California,carpenters-health-and-welfare-trust-fund-for-california
"Catamaran Insurance of Ohio, Inc.",catamaran-insurance-of-ohio-inc
Catawba College,catawba-college
Catawba Valley Medical Center,catawba-valley-medical-center
Catholic Health LIFE,catholic-health-life
Catholic Managed Long Term Care Inc.,catholic-managed-long-term-care-inc
Catholic Special Needs Plan LLC,catholic-special-needs-plan-llc
CeltiCare Health Plan of MA,celticare-health-plan-of-ma
Celtic Insurance Company,celtic-insurance-company
Cenral United Life Insurance Company,cenral-united-life-insurance-company
Centene Management Company,centene-management-company
Centene Venture Company Florida,centene-venture-company-florida
Center For Elders' Independence,center-for-elders-independence
CenterLight Healthcare PACE,centerlight-healthcare-pace
Centra PACE,centra-pace
Central Bancompany Inc,central-bancompany-inc
Central Bank of Audrain County,central-bank-of-audrain-county
Central Health Medicare Plan,central-health-medicare-plan
"Central Health Plan of California, Inc.",central-health-plan-of-california-inc
Central Jersey Municipal Employee Benefits Fund,central-jersey-municipal-employee-benefits-fund
Central Mortgage Company,central-mortgage-company
Central Trust Bank,central-trust-bank
Central Trust and Investment Company,central-trust-and-investment-company
Central United Life Insurance Company,central-united-life-insurance-company
Central Valley PACE,central-valley-pace
"Ceridian HCM, Inc",ceridian-hcm-inc
Champion Health Plan,champion-health-plan
Champion Heath Plan,champion-heath-plan
Cherokee Elder Care,cherokee-elder-care
Cherry Blossom PACE,cherry-blossom-pace
Chester A. Asher Inc.,chester-a-asher-inc
"Cheyenne Newspapers,Inc",cheyenne-newspapers-inc
Chinese Community Health Plan,chinese-community-health-plan
Chorus Community Health Plans,chorus-community-health-plans
Christ Community Health Services Augusta Inc,christ-community-health-services-augusta-inc
Cigna Health and Life Insurance Company,cigna-health-and-life-insurance-company
"Cigna HealthCare of Arizona, Inc",cigna-healthcare-of-arizona-inc
"Cigna HealthCare of California, Inc.",cigna-healthcare-of-california-inc
"Cigna HealthCare of Colorado, Inc.",cigna-healthcare-of-colorado-inc
"Cigna HealthCare of Delaware, Inc.",cigna-healthcare-of-delaware-inc
"Cigna HealthCare of Florida, Inc.",cigna-healthcare-of-florida-inc
"Cigna HealthCare of Georgia, Inc.",cigna-healthcare-of-georgia-inc
"Cigna HealthCare of Illinois, Inc.",cigna-healthcare-of-illinois-inc
"Cigna HealthCare of Indiana, Inc.",cigna-healthcare-of-indiana-inc
"Cigna HealthCare of Maine, Inc.",cigna-healthcare-of-maine-inc
"Cigna HealthCare of Massachusetts, Inc.",cigna-healthcare-of-massachusetts-inc
"Cigna HealthCare of Mid-Atlantic, Inc.",cigna-healthcare-of-mid-atlantic-inc
