display_name,category,parent_brand,value_key,payer_id,notes
"Amedisys Holding, LLC",Commercial,,amedisys-holding-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"AmeriChoice of Connecticut, Inc.",Commercial,,americhoice-of-connecticut-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AmeriHealth,Medicare Advantage,AmeriHealth,amerihealth,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"AmeriHealth Caritas Florida, Inc.",Commercial,AmeriHealth,amerihealth-caritas-florida-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"AmeriHealth Caritas Louisiana, Inc.",Commercial,AmeriHealth,amerihealth-caritas-louisiana-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"AmeriHealth Caritas North Carolina, Inc.",Commercial,AmeriHealth,amerihealth-caritas-north-carolina-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AmeriHealth Caritas VIP Care (HMO-D-SNP),Medicare Advantage,AmeriHealth,amerihealth-caritas-vip-care-hmo-d-snp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AmeriHealth Caritas VIP Care Plus,Medicare Advantage,AmeriHealth,amerihealth-caritas-vip-care-plus,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"AmeriHealth Caritas VIP Next, Inc.",Commercial,AmeriHealth,amerihealth-caritas-vip-next-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"AmeriHealth HMO, Inc.",Commercial,AmeriHealth,amerihealth-hmo-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AmeriHealth Ins Company of New Jersey,Commercial,AmeriHealth,amerihealth-ins-company-of-new-jersey,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Alternative Insurance Corp,Commercial,,american-alternative-insurance-corp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Family Insurance,Commercial,,american-family-insurance,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Family Insurance Company,Commercial,,american-family-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Family Life Assurance Company of Columbus,Commercial,,american-family-life-assurance-company-of-columbus,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Family Life Assurance Company of New York,Commercial,,american-family-life-assurance-company-of-new-york,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Family Mutual Insurance Company,Commercial,,american-family-mutual-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American General Life Insurance Company,Commercial,,american-general-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American General Life and Accident,Commercial,,american-general-life-and-accident,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American General Life and Accident Insurance Company,Commercial,,american-general-life-and-accident-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Health Advantage of Florida,Medicare Advantage,,american-health-advantage-of-florida,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Health Advantage of Indiana,Medicare Advantage,,american-health-advantage-of-indiana,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Health Advantage of Louisiana,Medicare Advantage,,american-health-advantage-of-louisiana,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Health Advantage of MS,Medicare Advantage,,american-health-advantage-of-ms,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Health Advantage of Missouri,Medicare Advantage,,american-health-advantage-of-missouri,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Health Advantage of Oklahoma,Medicare Advantage,,american-health-advantage-of-oklahoma,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Health Advantage of Pennsylvania,Medicare Advantage,,american-health-advantage-of-pennsylvania,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Health Advantage of Tennessee,Medicare Advantage,,american-health-advantage-of-tennessee,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Health Advantage of Texas,Medicare Advantage,,american-health-advantage-of-texas,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Health Advantage of Utah,Medicare Advantage,,american-health-advantage-of-utah,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Heritage Life Insurance Company,Commercial,,american-heritage-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Income Life Insurance Co,Commercial,,american-income-life-insurance-co,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Medical Security Life Ins Co,Commercial,,american-medical-security-life-ins-co,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Medical Security Life Insurance Company,Commercial,,american-medical-security-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American National Insurance Company,Commercial,,american-national-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American National Life Insurance Company of Texas,Commercial,,american-national-life-insurance-company-of-texas,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Progressive Life & Health Insurance Compa,Commercial,,american-progressive-life-and-health-insurance-compa,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Progressive Life & Health Insurance Company of New York,Commercial,,american-progressive-life-and-health-insurance-company-of-new-york,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Republic Insurance Company,Commercial,,american-republic-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
American Sentinel Insurance Company,Commercial,,american-sentinel-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
